"meanP1","meanP2","meanLeader","BestFitness","AverageFitness","SDFitness"
0.198094097824543,0.517164057033513,0.208112634665371,229,28.97,63.0443094140538
0.20612363930528,0.448764674408096,0.225342444589614,229,35.8,68.56689574364
0.269493338326441,0.452154863252093,0.201421947048331,247,21.455,53.3434221044936
0.313873135022237,0.349082124996788,0.194575417191256,200,27.73,58.1108493147434
0.365252978401694,0.308168839990172,0.186439542283851,228,39.06,64.7331850948588
0.423268818608054,0.299122988205452,0.163573928049336,250.5,42.635,73.566840871126
0.447819587513374,0.327567582406711,0.167832250620755,243,39.61,68.7674157922739
0.440458001905879,0.333397786271179,0.147116071800636,276,47.855,78.3536174575678
0.540631356757977,0.32431924414329,0.151871412447693,296,39.335,74.0634472406714
0.593522476991339,0.326757501736079,0.143905240949244,312,49.135,88.4869691656416
0.608124635691757,0.388290928878472,0.142482717799394,328,42.45,83.6623655782062
0.536536620684437,0.401966063617132,0.137050606401284,308,25.75,63.3438388416105
0.544703167460655,0.395387468954736,0.160075681755058,272,37.255,74.1213342902683
0.573189142876525,0.423557550079536,0.184921756557217,246,25.705,64.325839373545
0.700615964818978,0.360230917164767,0.15144101064495,287,35.03,72.4320935899148
0.772577393256961,0.354897480622036,0.181866745851617,283,52.71,85.5725275701698
0.800157575035774,0.41820019045626,0.257368823833071,234,28.995,69.5772405243978
0.658636149708468,0.46061869060175,0.318327944645414,223.5,19.875,55.1303952443476
0.588035360748701,0.428654977546595,0.361027871773827,316,46.025,76.8768651740555
0.616022333177937,0.437064692895304,0.311853931769927,319,42.095,80.028015769984
0.575381140792437,0.487521554709488,0.268888031983813,306.5,41.295,82.3492530002366
0.566957197685661,0.508184666393796,0.25582075095952,275,44.12,85.8484723336426
0.539759653114046,0.479337522596678,0.237783719996818,305,27.52,67.9142328993196
0.552603350615848,0.399440069710216,0.248837979892388,227,34.365,67.4089679838407
0.513849613096028,0.406120008502294,0.259460524933318,278.5,42.505,77.4542385260908
0.581880063351313,0.398743863948113,0.210166092513314,309,28.66,65.9105178528918
0.53636180056353,0.365853314534996,0.164913091751978,223,22.37,52.2420367524124
0.581618535969441,0.305171890339928,0.281583464001717,282,51.105,73.7910404555672
0.589956933899831,0.371466370275843,0.307684320239818,248,45.205,71.7865134276698
0.689826988344114,0.349154086424408,0.266289072769999,248.5,42.025,69.5535683026857
0.684096460072655,0.382562611561363,0.296603905087939,279,51.795,80.3217046468371
0.692420374586605,0.420624940660507,0.306467945592471,216.5,29.605,60.3434737418416
0.742511003269892,0.368430814325481,0.3606895503737,237,41.095,70.2394423929801
0.795448794474975,0.325141918081397,0.2796411477894,277,41.885,79.888174843327
0.79816298838686,0.363046795986715,0.235840958553543,294,41.815,81.3503973343993
0.826131073349176,0.395083243036777,0.226360895894885,303,34.82,72.4593065872915
0.852597310738641,0.343023209831677,0.24157096723311,306,42.765,78.1221995053618
0.864158715576901,0.363866543313085,0.240046412633361,288,33,67.5841413470362
0.848182764440903,0.292120206313983,0.223037569560504,311,50.665,81.2646274323409
0.830560601933504,0.347800249281938,0.225449091120679,300,35.12,71.7408044999708
0.859804870960515,0.339465360290224,0.194460137609163,296,33.865,67.1243326622584
0.838927233800908,0.250599470991702,0.137708440299244,250,38.98,67.0181235852578
0.845958138212599,0.2394991104711,0.131101714006205,258,37.155,68.8466563891057
0.845103040942703,0.281456333581864,0.152024495169911,276,49.055,79.0004761205445
0.853175078415848,0.279167484077711,0.137365755817283,246,44.455,76.3141465564968
0.880106310872944,0.279262457450371,0.109542980754416,256,38.92,76.4583705309133
0.826550954435277,0.265091363193998,0.132174008862412,271,30.04,63.2313245475722
0.825226275924082,0.229264424281636,0.16196430224428,243,34.13,61.2066634980674
0.790180012440055,0.210918825123498,0.187396142629797,206,41.515,60.8686885637825
0.76777187351756,0.226546279760886,0.229730809563196,210,47.385,63.581803468628
0.753510096242265,0.266217918678218,0.223241822236501,231,48.06,71.2547102820139
0.800944508539775,0.288360283077287,0.244521819556597,240,31.655,59.9189138534214
0.831374062030486,0.293796375464986,0.228301728802094,244,39.57,69.6235556040446
0.781758999578231,0.343001665449409,0.256030787878331,230,37.8,69.2759450722728
0.774030255583988,0.339460779105319,0.272631814860902,258,47.1,77.2581596488244
0.823162491728118,0.386543722239224,0.277473631994748,323,45.98,81.3252579200188
0.717261095734836,0.431216890443303,0.225701648002447,330,41.19,81.9954969199621
0.826902943566434,0.442498967821206,0.24969015753682,354,36.075,79.417175425252
0.823883219106178,0.357640159806308,0.151185690042017,305,39.55,80.9719523706022
0.794818714428459,0.405228532602495,0.181219200468573,315,22.46,63.2732841319975
0.764661212412588,0.338074624653559,0.160325846207779,336,47.745,87.6521331137693
0.838448059690696,0.409881905546284,0.201346670506443,312,37.55,83.3382574302772
0.861381997171792,0.445038382884047,0.240727993371059,300,35.01,77.3285650306339
0.891136944330775,0.449133241593971,0.263231328982071,291,38.225,81.4726630424729
